date,label,sustained_minutes,gate_open_hour,lk_coverage,lk_avg,lk_max,lk_p50,lk_mean_dir,lk_dir_consistency,lk_trend_delta,sd_coverage,sd_avg,sd_max,sd_p50,sd_mean_dir,sd_dir_consistency,sd_trend_delta
2026-07-25,false,20,6,,,,,,,,1,12.12,21.5,12.1,308,0.765,0.52
2026-07-26,true,60,6,1,21.37,25.5,21.1,257,0.999,2.48,1,14.26,20.1,14.4,273,0.994,3.65
2026-07-27,false,0,6,1,20.08,26.7,22.4,265,0.994,-5.6,1,11.41,19,11.5,302,0.664,-5.53
2026-07-28,false,20,6,1,19.11,28.6,16.8,254,0.996,-13.46,1,14.27,22.1,13.1,273,0.988,-6.04
2026-07-29,true,40,6,1,21.07,29.8,23.6,293,0.606,14.03,1,10.03,16.6,10.5,302,0.827,5.1
2026-07-30,false,25,6,1,17.46,31.1,18.6,259,0.939,11.27,1,6.64,17.7,5.5,286,0.747,5.14
2026-07-31,false,0,6,1,8.68,19.3,8.7,339,0.607,-1.78,1,6.04,11.7,5.3,307,0.943,2.02
2026-08-01,false,10,6,1,20.46,29.8,20.5,255,0.997,2.69,1,15.04,20.4,15.1,276,0.993,2.77
2026-08-02,true,115,6,1,26.04,35.4,26.7,257,0.995,5.64,1,8.05,16.1,8.1,286,0.931,5.3
2026-08-03,true,85,6,1,29.25,32.9,29.8,257,0.999,2.82,1,11.46,21.3,10.3,284,0.755,3.3
2026-08-04,false,0,6,1,9.54,13.7,8.7,23,0.991,-5.66,1,5.71,9.8,5.5,19,0.902,-1.44
2026-08-05,false,0,6,1,11,17.4,11.8,284,0.636,9.08,1,8.93,14.7,8.6,294,0.946,4.29
2026-08-06,false,10,6,1,20.27,25.5,19.9,256,0.997,2.25,0.97,12.39,18.3,13.1,284,0.923,3.69
2026-08-07,true,85,6,1,27.68,37.3,27.3,256,0.996,-2.23,1,19.29,26.8,19.5,274,0.989,-2.78
2026-08-08,false,5,6,1,27.48,35.4,28,258,0.995,6.56,1,10.21,19.5,11.6,297,0.695,3.84
2026-08-09,true,95,6,1,24.31,33.6,26.7,258,0.989,-6.06,1,16.97,22.1,17.3,275,0.99,-0.19
2026-08-10,true,115,6,1,16.55,26.1,17.4,250,0.942,-4.94,1,8.94,14.5,10.1,275,0.756,-2.47
